place,location,description
ISKCON Temple Mumbai,mumbai," Iskcon temple is a spiritual getaway from all the hustle and bustle of the city. A temple clad in marble and glass, Iskcon has an impressive architecture and promises to give a peaceful and tranquil experience. The complex also has a research and education centre conducting daily seminars and preaching on Vedic writings and an impressive library inside the compound. "
Gorakhgad Trek,mumbai, Gorakhgad is a hill fort in Maharashtra. Gorakhgad and Machindragad are twin forts in the Thane district of Maharashtra. Gorakhgad is situated at an elevation higher than its twin fort. 
Kanheri Caves,mumbai," Located in the Sanjay Gandhi National Park, the Kanheri Caves in Mumbai is a group of alcoves and rock-cut monuments that illustrate the Buddhist influence on the Indian art and culture. The caves are famous for its 109 special entrances and ancient sculptures, carvings, paintings and inscriptions dating from the 1st century to the 10th century. "
Girgaum Chowpatty,mumbai," Girgaum Chowpatty is a small sandy beach and a good place to chill, at the north end of Marine Drive, a must-go place for tourists visiting Marine Drive for the first time. Conveniently located next to Charni Road railway station, it is very crowded during evening and weekends and hosts street food stalls serving local delicacies. There are cafes/dine-in options available across the road as well. "
Water Sports in Mandwa Beach,mumbai," A beautiful, serene and pristine beach in Mandwa Village - an hour long ferry ride away from Mumbai - is not just about quite long walks along the coast but also offers the buzz of water sports. "
Global Vipassana Pagoda,mumbai," Located near Gorai, North-West of Mumbai, the Global Vipassana Pagoda serves as a monument to peace and harmony. It is built as a form of gratitude to a Vipassana teacher and accountant general of Independent Burma, Sayayi U Ba Khin. He was instrumental in bringing Vipassanaa back to its country of origin, i.e. India. "
Mahakali Caves,mumbai," Alternatively known as Kondivite Caves, the Mahakali Caves are a total of nineteen rock-cut monuments, built between the duration of the 1st and 6th century. The main cave consists of Buddha figures and stupas, while the there are several Buddha idols carved on the rocks too. "
Lokhandwala Market,mumbai, Lokhandwala is another place to shop happily and heartily. Do not miss the lip-smacking food around these shopping streets. 
"Hill Road and Linking Road, Bandra",mumbai," Acknowledged for its high fashionable taste, Mumbai provides many opportunities to shop around. Besides Colaba, Bandra is another place for Shopaholics. "
Makarandgad Trek,mumbai," Makarandgad (or Madhumakarandgad) is a hill fort in the state of Maharashtra. Believed to be comprised of twin peaks, Madhu and Makarandgad, the fort has thus derived its name. "
"Mahalaxmi temple, Mumbai",mumbai," The Mahalaxmi Temple is dedicated to Goddess Mahalaxmi or the 'Goddess of Wealth'. Thronged with devotees and tourists in large number throughout the year, the temple is a must visit if you are visiting Mumbai.  "
Bhimashankar Trek,mumbai," Located in the beautiful expanses of the Western Ghats, the Bhimashankar Trek takes you through the thickets of the Bhimashankar jungles right up to the temple. Bhimashankar is located in the village Bhorgiri in the ghat region of the Sahyadri range. "
Jehangir Art Gallery,mumbai," The Jehangir Art Gallery, an art gallery in Mumbai, was founded by Sir Cowasji Jehangir at the request of K K Hebbar and Homi Bhabha. It was built in 1952. Managed by the Committee of Management, the entire cost of this mansion was donated by Cowasji Jehangir.This gallery is placed at Kala Ghoda, behind the Prince of Wales Museum, in South Mumbai near the Gateway of India, and has four exhibition halls. The gallery was designed by GM Bhuta for GM Bhuta and Associates. "
Naneghat,mumbai," Situated at a height of 2,600 feet, Naneghat is a mountain pass through the Sahyadri Mountain Range in Maharashtra that connects the Konkan sea coast with the old town of Junnar in the Deccan. Once an important corridor link through the Ghatghar forest between the coastal region and the important towns inland, Naneghat is now a loved and much-frequented route for the trekkers and explorers. Boasting the trademark beauty of lush greens amidst patches of dusty terrain, typical to this region, Naneghat is a treat to the eyes, to the soul and to the nature-loving, adventure-seeking mind. 
 "
Haji Malang Dargah and Trek,mumbai," Sri Malang gad is a fort near Kalyan in the Raigad district of Maharashtra. It is known popularly as Haji Malang, which is one of the most famous among the three sufi shrines located on the hill. The structure of the fort is three-storeyed, and each tier has a specific name. "
Mahuli Trek,mumbai," Mahuli is a hill fort in Maharashtra. Located in the district of Thane, the peak of the fort rises to an elevation of 2700 feet from the ground. The summit is actually a collection of 2-3 hills, all having typical names. "
Jivdhan Trek,mumbai," Jivdhan is a hill fort in the state of Maharashtra. It is a part of the 'famous five' fort in the Sahyadri mountain range. The other forts which are a part of the famous five include Naneghat, Shivneri, Chavand and Hadsar. "
"Jama Masjid, Mumbai",mumbai," The Jama Masjid, popularly known as Friday Mosque, is the oldest mosque that Mumbai houses. A popular place of pilgrimage, it boasts of beautiful and intricate carvings, breathtaking artworks and the fascinating 'sangemarmar' stonework and has an interesting history attached to it.  "
Mahipatagad Trek,mumbai," Mahipatagad is a hill fort in the state of Maharashtra. Mahipatagad is a twin fort of Rasalgad, located in the Ratnagiri district. It is famous for its six entrance door or 'Darwazas' but most of them have crumbled down. There is Shiva temple at the top. "
Mount Mary Church,mumbai," The Basilica of Our Lady of the Mount is commonly called as the Mount Mary Church by the locals. Thousands of people of all faiths visit this church to attain peace and tranquillity in the caress of Mount Mary. The basilica is a truly grand, yet humble edifice made from nothing but stone.
 "
Gorai Beach,mumbai," Located in the north suburb of Mumbai, 40 kms from the main city, Gorai Beach is one the cleanest, most tranquil and one of the most frequented beaches of Mumbai. Located near Bhayandar, on the Gorai Creek, the soothing calmness of this beach bordering the Arabian Sea, makes for a perfect leisure weekend vacation.  "
Madh Island,mumbai," Home to umpteen villages, farmlands and surreal vistas, is the locale of Madh Island in Mumbai. Clustered with quaint fisher villages and dotted with lush green farms, Madh Island is a respite from the glitterati and dazzling environs of the city and can be reached by an hour’s drive from the main city.  "
Marve Beach,mumbai," Away from the industrial pollution and the chaotic city life, Marve Beach is situated in Malad, in the western suburbs of Mumbai. Due to the strong tides and currents, it is generally not recommended to swim in the sea waters or even to step aside post evening hours.  "
Versova Beach,mumbai," A continuation of Juhu Beach towards the Andheri suburbs, Versova Beach is comparatively less crowded and only separated by a creek from the former beach. Versova is essentially a fishing village inhabited by Kolis (fisherfolks) situated in the vicinity of the beach, and is a hotbed for fish trade.  "
Dadar Chowpatty Beach,mumbai," As the name suggests, Dadar Chowpatty Beach is situated in the Dadar suburbs of Mumbai. Majorly popular for the giant view of the Bandra Worli Sea Link bridge, this beach is customarily used for jogging and watching beautiful sunsets. "
Aksa Beach,mumbai," Located a little on the outskirts of the city in Malad, Aksa Beach is an unparalleled oasis for a rejuvenating retreat from the hustle bustle of the city traffic. The mesmerising coastline is one of the longest in the city and offers an extremely vivid and surreal panorama of the merging horizon ahead.  "
Kalamb Beach,mumbai," Located in Nalasopara in Thane district of Maharashtra, is the really long and secluded Kalamb Beach. A paradise away from the din of the city, the beach is beautiful owing to its tranquility, serenity and an altogether mesmerising panorama. "
Worli Sea Face,mumbai," The exuberant promenade with lashing waves and gushing waters of the Arabian Sea, situated in Worli, Mumbai is popularly called Worli Sea Face. Home to the rich and affluent residential colonies, the posh locale is also a major business district.  "
Uran,mumbai," Situated at the end of Navi Mumbai, Uran lies in the Konkan division between Panvel and Karjat. Primarily a tiny fishing and agriculture village, Uran has several beaches to its attribute- the most popular of which are Pirvad, Mankeshwar and ONGC. Surrounded by water bodies on three sides, the village is just attached to the land from the side of Raigarh district. Pirvad is the most frequented beach, with plenty of tourists visiting it every day, Mankeshwar is considered to be a religious beach owing to the grand temple of Lord Shiva situated at the seaside itself. Whereas ONGC is popular for housing the gas plant at the beach. "
Bandstand,mumbai," Bandstand or Bandstand Promenade is the immaculate promenade in the queen suburbs of Bandra in Mumbai. Also known as Bandra Bandstand, it boasts of a joggers’ strip and a park in addition to being a happening hangout spot.  "
Carter Road,mumbai," Situated next to Bandstand Promenade just next to Bandra, Carter Road is one of the most happening and popular hangout places among the Mumbaikars. The locale is a haven for foodies owing to its bazillion food options from the umpteen eateries situated on the sidewalk. "
India Gate,delhi," India Gate is a war memorial located in New Delhi, along the Rajpath. It is dedicated to the 82,000 soldiers, both Indian and British, who died during the First World War and the Third Anglo-Afghan War. India Gate looks stunning at night with the fountain displaying colourful lights. The surrounding lush green lawns are a popular picnic spot. The Amar Jawan Jyoti is also located here. "
Qutub Minar,delhi," Qutub Minar is a minaret or a victory tower located in the Qutub complex, a UNESCO World Heritage Site in Delhi's Mehrauli area. With a height of 72.5 metres (238 ft), Qutub Minar is the second tallest monument of Delhi. The surrounding Qutub complex has lush green lawns which are popular picnic spot. "
Akshardham Temple Delhi,delhi," The Akshardham Temple, also known as Swaminarayan Akshardham is dedicated to Lord Swaminarayan. It is known for its stunning architecture. Akshardham complex is home to India's largest step well which is a host to the mesmerising water show each evening. "
Humayun's Tomb,delhi," Humayun's tomb is the final resting place of the Mughal Emperor Humayun. Located in the Nizamuddin East area of Delhi, it is the first garden-tomb in India. This UNESCO World Heritage Site is known for the stunning typical Mughal architecture with Persian influences. "
Hauz Khas Village,delhi," An affluent neighbourhood in South Delhi, Hauz Khas Village or 'HKV' is known for its electric nightlife with countless cafes, bars and pubs along with art galleries, and boutiques and is amongst the top hip places to visit in Delhi other than a heritage site. The area is also dotted with domed structures which are tombs of royalties during the 14th to 16th century. "
Museum of Illusions,delhi," The Museum of Illusions in Connaught Place, New Delhi is India's first optical illusion museum. It is a fun place to challenge the senses by exploring exhibits which include holograms, a supposedly rotating cylinder, a room with no gravity, rooms with mirrors that distort reality and much more. 
 "
"National Gallery Of Modern Art, Delhi",delhi," Following its motto of delivering an excellent world of art to its visitors, National Gallery of Modern Art, Delhi, preserves paintings and other artistic pieces dating back to 1850s. It houses a collection of more than 14,000 artworks which includes work that is as old as a hundred and fifty years.  "
Lotus Temple,delhi," The Lotus Temple is one of the seven Baha'i House of Worship present around the world. Known for its stunning white petal lotus architecture, iy is one of the most visited establishments in the world.  "
Red Fort,delhi," The Red Fort is a historical fort in the old Delhi area, on the banks of Yamuna. Shah Jahan constructed it in 1639 as a result of a capital shift from Agra to Delhi. Built from red sandstone, it is home to several museums. Every year, the Indian Prime Minister unfurls the national flag here on the Independence Day.  "
Agrasen ki Baoli,delhi," A protected monument under the Archaeological Survey of India, Agrasen ki Baoli is a 60 meter long and 15 meter wide historical step well on Halley Road, New Delhi. It is an ancient water reservoir having 103 stone steps. It is one of the most visited places in Delhi having a serene atmosphere. "
Sunder Nursery,delhi," Sunder Nursery (also known as Central Park) is a park complex situated adjacent to Humayun's Tomb, Built in the 16th century, the park was originally known as Azim Bagh. Sprawling over a whopping 90 acres of land, the park is home to 300 types of trees. "
Garden of Five Senses,delhi," Located in the poised Said-ul-Ajaib, the Garden of Five Senses is designed to stimulate your senses of touch, sight, smell, sound and taste and is a paradise for nature’s lovers. It is spread across 20 acres and has various themed parks, Mughal baghs, pools of water lilies, solar energy park, themed decor and many other attractions. "
Lodhi Garden,delhi," Lodhi Gardens is a city park placed in New Delhi, spanning over 90 acres. It is a luscious garden that houses the tombs of Sayyid ruler Mohammed Shah and Lodhi King Sikandar Lodhi. It is situated between Khan Market and Safdarjung's Tomb on Lodhi Road and is a favorite spot for morning walks for the Delhiites. "
Waste to Wonder Park,delhi," Waste to Wonder Park is one of its kind theme park in the world. It features the replicas of seven wonders of the world, created from industrial and other waste. Wind and solar energy have been harnessed to light up the park rendering a breathtaking sight during sunset and night.  "
Chandni Chowk,delhi," One of the oldest markets in Old Delhi, Chandni Chowk is still an important historical site renowned for the availability of every kind of goods as well as food. It was Constructed in the 17th century by mughal ruler of India Shah Jahan. It is situated opposite the Red Fort and provides a view of the Fatehpuri Mosque. "
Dilli Haat,delhi," Designed to invoke the ambience of a traditional village fair, Dilli Haat is every shopper’s paradise, a foodie’s haven and the cultural magnet of the metro city. A flamboyant mix of vibrant colours and varied cultures, the bazaar is located in the commercial centre of South Delhi, bang opposite to the INA Market. "
Bharat Darshan Park,delhi," The Bharat Darshan Park in Punjabi Bagh, Delhi has replicas of popular Indian monuments made out of waste material.  It is quite similar to the Waste to Wonders park. Some of the monument replicas include the Gateway of India, Mysore Palace, Hampi, Victoria Memorial Hall and Charminar, amongst others made from about 350 tonnes of scrap material. 
 "
Gurudwara Bangla Sahib,delhi," Gurudwara Bangla Sahib is one of the most important Sikh gurdwara, aka Sikh house of worship, in Delhi, India and known for its association with the eighth Sikh Guru, Guru Har Krishan, as well as the pool inside its complex, known as the 'Sarovar.' It was first built as a small temple by Sikh General Sardar Bhagel Singh in 1783, who supervised the construction of nine Sikh shrines in Delhi in the same year, during the reign of Mughal Emperor, Shah Alam II. "
Pradhanmantri Sangrahalaya,delhi," The Prime Ministers’ Museum or the Pradhanmantri Sangrahalaya was inaugurated by Prime Minister Narendra Modi on 14th April 2022. Located next to the Nehru Memorial Museum and Library (NMML) on Teen Murti Marg, the museum pays tribute to all the Prime Ministers of India since Independence. Besides memorabilia, there is an audio and visual tour of speeches from the Red Fort and a virtual helicopter ride. "
"Rail Museum, Delhi",delhi," Located in the vicinity of Chanakyapuri, the Rail Museum aims to preserve the 163 years old railway heritage of India. Popularly known as the National Railway Museum, the museum is spread over 10 acres of land and houses some fantabulous railway memorabilia.  "
Nizamuddin Dargah,delhi," This is the holy shrine of Muslim Sufi Saint Nizamuddin Chisti. The tombs of many other people from the Mughal era are present in the same area, which surround a tank. Known to be one of the top-visited places in Delhi, a vibe of spirituality and serenity seems to be omnipresent at the Hazrat Nizamuddin Dargah, where you can find throngs of devotees even in the later hours of the evening. "
"Jantar Mantar, Delhi",delhi," Located in New Delhi, the Jantar Mantar was one of the five sites built by Maharaja Jai Singh II of Jaipur. The site consists of 13 architectural astronomy instruments. The main purpose of the observatory was to compile the astronomical tables and to predict the movement and timings of the sun, moon and planets.  "
Delhi Zoo,delhi," Also known as Chidiya Ghar, Delhi Zoo is a favourite weekend spot among adults and children. From biggest cats to the tiniest birds, the zoo has all kinds of animals and birds. It has canteens inside for the visitors and battery-operated vehicles. "
Mehrauli Archaeological Park,delhi," The Mehrauli Archaeological Park is a 200-acre archaeological site home to more than 100 magnificent monuments, and tombs from the 10th century to the British era. Some prominent monuments here are tombs of Balban and Quli Khan, Jamali Kamali mosque, and Rajon ki Baoli among others. "
Kingdom of Dreams,delhi," The Kingdom of Dreams, also known as KOD sits majestically in Gurugram (Previously Gurgaon) and is India's first live entertainment, leisure and theatre destination. It is a magnificent structure and glitters merrily in sector 29. It offers visitors a taste of contemporary and modern India through the means of interactive tableaus, galleys, and arts.  It is currently becoming one of the best places in Delhi for tourists and locals alike. "
"Mughal Gardens, Delhi",delhi," Popularly known as the “soul” of the Presidential Palace, the Mughal Gardens are located inside the Rashtrapati Bhawan Complex. Designed by Sir Edwin Lutyens in the year 1917 for Lady Harding, the gardens cover a vast area of 13 acres and are a wonderful incorporation of Mughal architecture with that of British style. The gardens are also open for a certain time in the year and hence make amongst the most-sought places to visit in Delhi. "
Rashtrapati Bhavan,delhi, Rashtrapati Bhawan is a famous monument of the British Empire which was said to be the palace of the Viceroy of India. It is now the home of the President of India. It is considered to be the best-known monument in India next to Taj Mahal and Qutub Minar.  
Jama Masjid Delhi,delhi," Jama Masjid is the largest mosque in India built by Mughal Emperor Shah Jahan. The mosque hosts thousands of pilgrims each year on the holy occasion of Eid to offer special Namaz in the morning. Non-Muslims are not allowed inside the Masjid during Namaz offerings. One of the top attractions and best places to visit in Delhi, Jama Masjid gets a lot of tourist crowd other than the religious crowd. "
Sarojini Market,delhi," Vibrantly coloured clothes strewn all over, tiny food stalls cramped in every nook, deafening cacophony of the salesboys and a pandemic compact environment- welcome to Sarojini Nagar, the most hep and trendy market of Delhi.  "
Connaught Place,delhi," Officially named Rajiv Chowk, Connaught Place is better known as CP amongst the locals. It is one of the largest commercial and business centers in Delhi, and has been designed in two concentric circles namely Connaught's Inner Circle and Connaught's Outer Circle. Known since British era, this market has its own elegance. Known to be the most iconic structure from Lutyens Delhi, this is also among one the top places to visit in Delhi. "
Shopping Markets,delhi," Delhi is known to be shoppers' paradise. For almost everything, you will find a great market for the best price. "
ISKCON Temple Delhi,delhi," This temple was opened back in 1998; it is located at Hare Krishna Hills, in the East of Kailash area of New Delhi, India. A very well-known Lord Krishna temple for inner peace. Its followers believe in Srila Prabhupada. As one of the biggest temple complexes in India. It has numerous rooms for priests and service renders. Many halls are used for its administration purposes. It is divided into four broad units. "
Khan Market,delhi," Khan Market is one of the hot spot and posh market in Delhi which serves as a perfect place for friends and family to hangout. Known to be one of the top places to visit in Delhi, the market has successfully held the essence of its original structure even in the times of rapid modernization. If you need to hang out late at night, Khan Market is the place for you as remains open till 12:00 AM.  "
Paharganj,delhi," Replete with travellers, both Indians and foreign, Paharganj is the most chaotic, noisy, dirty and yet the most vibrant market of Delhi. Dotted with umpteen hotels, brothels, cheap bars, and ultra cheap restaurants; the labyrinthian alleys of Paharganj have a lot more to offer than visible to the naked eye.  "
Birla Mandir Delhi,delhi," The Birla Mandir or Birla Temple popularly known as the Laxminarayan Temple is a temple dedicated to Laxminarayan. It is located at Connaught Place, New Delhi, and was built by the Birla family, which is why it is known as the Birla temple. Built-in the early 1900s and spread over a whopping 7.5 acres, the temple houses many shrines, fountains, and gardens along with sculptures and carvings.   "
Lajpat Nagar,delhi," Lajpat Nagar is a bustling and colourful neighbourhood in South Delhi which is best known for the Lajpat Nagar Central Market where many come to experience the thrill of the genuine Delhi life. One visit and you'll know how lively the place is and this can be seen by the flamboyant goods on sale, the brilliant evening lights, the rushing inhabitants and the sounds of the ever so busy streets.  "
Safdarjung Tomb,delhi," Built in 1754, during the reign of Mughal Emperor- Ahmad Shah Bahadur, the namesake tomb is dedicated to the Prime Minister of the court- Safdarjung. Located in the heart of the city, at the junction of Safdarjung Road and Aurobindo Marg, the monument is a low-key tourist attraction of the city.  "
Purana Qila,delhi," Stoically standing in the placid vicinity of Indraprastha, Purana Qila or the Old Fort is a masterpiece of the ancient glory and sterling architecture of the bygone Mughal Empire, and is one of the oldest forts in Delhi. Built on the banks of river Yamuna and spread over a vast 1.5 kms of area, the monument has tons of myths and legends of the medieval era attached to it.  "
Adventure Island,delhi," Probably the most famous of all adventure parks in Delhi NCR, Adventure Island is a one-stop haunt for all the dose of thrill and enjoyment. It is a super-hit with kids and adults alike, and couples find it a refreshing change to head to for spending an exciting date! It has a vast array of adult rides, rides for kids, water rides as well as special events that are organised from time to time. Feel the adrenaline pumping as you head for a ride on 'Butterfly Feeling' or 'Twister' meant for adults; alternatively, you could let your inner child have fun on less scary rides such as Wild Wheels, Sky Riders or Splash Down. Wave Rocker, It's a Ringa Ringa Thing, Bush Buggies, Splash Dunk and Bumper Cars are loved by families and large friends' groups. In addition to the adventure park, you could dabble in some window-shopping experience at the Metro Walk, which is dotted with all the latest brands, and finally, head towards a satisfying lunch or dinner at plenty of culinary options available. The best part about this place is its super convenient connectivity by metro as it is located bang opposite to Rithala station on the red line.  "
Pragati Maidan,delhi," Pragati Maidan, situated at Mathura Road, is a vast exhibition center of Delhi. With an exhibit area of 150 acres, it serves as an important attraction of Delhi.  "
Rajghat,delhi," Rajghat is a place where Mahatma Gandhi, Father of the Nation was cremated followed by his assassination in year 1948. Visitors from all around the world come here to pay their homage.  "
"National Museum, Delhi",delhi," Also known as the National Museum of India, the National Museum in New Delhi is one the largest museums in India, situated on the corner of the Janpath and Maulana Azad Road. Established in 1949, the blueprints of the majestic repository were prepared by the Gwyer Committee set up by the Government of India in 1946. "
Kuchesar,delhi," Kuchesar is a tiny village in Bulandshahr district of Uttar Pradesh, at a distance of 80 km from Delhi and is popular for its Mud Fort, now restored as a heritage resort. "
Crafts Museum,delhi," Popularly known as the Crafts Museum, the National Handicrafts Museum is a colorful amalgamation of the diverse culture and rich traditions of our country. Located in the far corner of the magnanimous Pragati Maidan in Delhi, the museum is a centre to exhibit varied specimens in handicrafts, textile and local decor.  "
Tughlaqabad Fort,delhi," Tughlaqabad Fort is one of the finest specimens of pure Islamic architecture and has the touch of Sultanate sturdiness about its fortifications. Popular as one of the best-visited places in Delhi, the entire premise takes around an hour or two to look around and offer great opportunities for history enthusiasts and shutterbugs.  "
Teen Murti Bhavan,delhi," Once served as the home of Pt. Jawaharlal Nehru for 16 years, today, the Teen Murti Bhavan houses various institutions like the Nehru Memorial Museum and Library and the office of Jawaharlal Nehru Memorial Fund. One of the four Nehru Planetariums is also located within the grounds of the house. "
Rajpath,delhi," Running from Rashtrapati Bhavan on Raisina Hill, all the way through Vijay Chowk and India Gate to the National Stadium, Rajpath is a long ceremonial boulevard in New Delhi. Considered to be one of the most important roads in India, it is where the annual Republic Day parade takes place on 26 January. While Rajpath stands for the King's Road, Janpath, which stands for People's Road, also crosses the road. Running in the east-west direction, the avenue is lined on both sides by huge lawns, canals and many rows of trees. "
Quwwat-ul-Islam Mosque,delhi," Located within the Qutub Minar complex at Mehrauli in Delhi, Quwwat-ul-Islam Mosque (translating to ‘Might of Islam’) was built by the Mamluk ruler Qutub-ud-din Aibak. Yet another feather in the cap of Delhi, the monument is the first mosque to be built in the city after the Islamic conquest of India and is known as a celebration of the Muslim Rule.  "
Sulabh International Museum of Toilets,delhi," Sulabh International Museum of Toilets was built in 1992 by Dr. Bindeshwar Pathak (a social activist) and titled as one of the weirdest museum in the world by Time magazine. Established with the objective to address the global history of sanitation and toilets, the museum is anything but mundane and is a source of amusement to many.  "
Nicholson Cemetery,delhi," Situated in the heart of the city in Kashmere Gate area of New Delhi, Nicholson Cemetery (also known as Lothian Cemetery) is an ancient Christian cemetery named after the Brigadier-General John Nicholson, a Victorian era military officer who played a crucial role during the Indian Rebellion of 1857.  "
Iron Pillar,delhi," Iron Pillar is one of the many mysterious monuments of wonder present in Delhi- the capital of India. Located within the Qutub Minar complex in Mehrauli area of New Delhi, the Iron Pillar has been posing as one of the foremost metallurgical curiosities of the world due to its prowess to not exhibit a speck of rust despite being thousands of years old.  "
Nehru Memorial Museum and Library,delhi," Housed within the premises of the grand Teen Murti Bhavan in Delhi, Nehru Memorial Museum and Library is an autonomous institution established in the memory of the first Prime Minister of India- Pandit Jawaharlal Nehru.  "
Lalbagh,bangalore," Lalbagh botanical garden is home to numerous birds and wildlife and has a lake. It is popular for flower shows conducted here during Republic Day and Independence Day week. There is also a bonsai garden, topiary garden, lotus garden and rose garden inside. "
Church Street,bangalore," About 750 m long, Church Street in Bangalore is one of the busiest and most beloved streets, named after St. Mark’s Cathedral. It is lined with gift shops, music shops, bookstores, restaurants and cafes, some of them being the oldest in the city, all selling a wide variety of products and tasty treats. There are days when artists set up shop out on the streets and sell their work that includes paintings, photo frames, posters and handmade items. There are arcades for children and adults to play at and tattoo parlours too. "
Bannerghatta National Park,bangalore," Located 22 km away, the Bannerghatta National Park is a sanctuary for a large variety of flora and fauna. The main attractions here are an aquarium, a zoo, a Children's park, Crocodile Farm, Snake Park and a Prehistoric Animals' Park. It is also popular for hiking and trekking.

 "
Bangalore Palace,bangalore, The majestic Bangalore palace is a royal palace known for its architecture with beautiful carvings both inside and outside. It is owned by the Mysore Royal family. The sprawling grounds around the palace is ideal for a picnic. 
Cubbon Park,bangalore," Cubbon Park is the most famous attraction in Bangalore. In addition to being a natural sightseeing destination, Attara Kacheri, Cubbon Park Museum, Bangalore Aquarium and Sheshadri Iyer Memorial Park are also situated here.  "
